,Coefficient
vertical_drop,1.9390692839995376
trams,1.2884268944936919
fastEight,2.220446049250313e-15
fastSixes,1.0125802269537678
fastQuads,1.1710278517589492
quad,1.9348050254671176
triple,0.17737031594485508
double,0.035476332484128154
surface,0.520833323408073
total_chairs,0.858278160599398
Runs,1.784785811915321
TerrainParks,0.34582867602063316
LongestRun_mi,0.48523371188908515
SkiableTerrain_ac,5.335358699577432
Snow Making_ac,0.07553349876961135
daysOpenLastYear,0.3416069155183791
yearsOpen,0.9251918768840972
averageSnowfall,1.0645250677472986
AdultWeekday,12.37562681961912
projectedDaysOpen,0.1840510287127886
NightSkiing_ac,1.0949763080515467
clusters,0.6158397565127873
